x,y
497.69,101.00
505.88,88.72
546.82,86.67
553.65,101.00
565.25,92.13
576.17,98.96
585.73,95.54
594.60,90.08
606.88,91.45
625.31,110.56
632.81,105.10
643.74,111.24
664.21,128.99
672.40,123.52
682.64,126.94
708.57,139.91
692.87,134.45
688.78,148.09
698.33,159.70
687.41,169.25
744.74,180.85
737.92,194.50
758.39,204.74
781.59,251.15
774.77,235.45
767.94,255.24
761.80,241.59
753.61,258.65
747.47,247.05
760.44,363.75
757.02,342.60
754.98,325.53
754.98,311.89
754.29,299.60
757.71,291.41
759.75,282.54
767.26,272.30
784.32,263.43
795.24,271.62
800.02,282.54
806.16,295.51
797.97,306.43
790.47,320.76
791.83,335.77
782.27,355.56
811.62,305.06
806.84,313.25
800.70,319.39
802.07,331.00
807.52,343.96
817.08,352.83
810.26,361.71
797.97,365.12
805.48,370.58
796.61,373.99
787.74,397.20
792.51,407.43
775.45,416.30
769.99,405.38
806.16,438.14
797.29,442.92
791.83,437.46
788.42,432.68
778.86,426.54
791.83,447.70
769.99,445.65
741.33,417.67
752.25,414.94
761.12,420.40
757.71,432.68
751.56,438.14
758.39,441.55
757.02,450.43
747.47,451.79
765.22,459.98
778.86,464.76
773.40,481.82
754.98,479.09
763.85,495.47
751.56,499.56
759.75,510.49
737.92,517.99
751.56,525.50
726.31,532.32
740.64,538.47
677.86,546.65
661.48,541.88
647.83,530.27
667.62,526.86
681.27,526.86
700.38,529.59
714.03,537.78
697.65,544.61
695.60,515.26
694.24,571.91
680.59,556.21
662.84,563.72
660.11,583.51
684.00,580.78
635.54,597.16
624.63,612.17
619.17,589.65
595.28,591.70
575.49,580.78
562.52,597.16
581.63,611.49
607.56,584.87
507.93,625.14
494.27,623.77
484.04,609.44
499.05,599.89
514.75,587.60
528.40,590.33
537.27,604.66
548.19,613.53
536.59,626.50
520.89,627.19
520.89,614.90
522.26,606.71
512.70,601.93
509.97,612.17
471.75,618.31
462.88,606.71
454.69,615.58
446.50,612.85
447.87,598.52
390.54,561.67
396.00,569.18
406.24,565.08
398.73,559.62
383.72,570.54
379.62,577.36
379.62,584.19
385.08,591.01
388.49,584.87
393.27,576.00
402.82,581.46
406.92,574.64
415.79,569.86
421.25,576.00
428.07,581.46
434.22,585.55
430.80,593.74
423.30,586.92
415.11,582.14
409.65,586.92
415.79,591.70
424.66,596.48
421.25,602.62
415.79,597.16
406.92,593.74
396.68,588.28
396.68,595.79
408.28,601.25
416.48,605.35
375.52,545.29
380.30,554.84
391.22,550.75
391.91,537.10
325.71,525.50
342.08,536.42
320.25,509.12
312.74,491.37
318.88,474.31
353.00,483.87
361.20,508.44
352.32,517.31
359.83,528.91
356.42,539.83
360.51,545.29
365.97,537.78
369.38,517.31
368.70,524.13
374.16,528.91
378.26,525.50
382.35,517.31
377.57,517.31
362.56,487.28
376.89,502.98
374.84,483.19
388.49,497.51
342.08,499.56
337.99,503.66
339.36,513.22
344.13,513.22
346.18,505.71
355.74,507.75
350.96,512.53
320.93,480.46
327.75,478.41
318.20,487.28
318.88,496.15
322.29,494.78
326.39,504.34
331.17,502.98
343.45,490.69
348.91,485.92
350.27,491.37
301.14,472.26
323.66,467.49
339.36,469.53
351.64,474.31
280.66,457.93
286.80,464.07
300.46,459.30
293.63,453.16
298.41,468.17
312.06,463.39
272.48,427.91
279.30,440.19
282.71,432.00
279.98,416.30
292.95,423.13
293.63,436.78
303.87,418.35
305.23,406.07
308.64,400.61
310.69,390.37
312.06,427.91
318.20,423.13
325.02,424.49
331.17,427.91
335.26,430.64
335.94,422.45
335.94,416.99
343.45,426.54
338.67,436.78
334.58,444.97
340.04,447.70
333.22,453.16
325.02,452.48
314.10,456.57
331.85,459.98
338.67,461.35
350.96,462.71
358.47,467.49
368.02,466.12
376.21,462.03
386.45,458.62
406.24,452.48
416.48,460.66
417.84,475.68
429.44,443.60
430.12,462.03
430.80,478.41
435.58,492.06
450.60,496.15
262.24,352.15
278.62,360.34
265.65,372.63
279.98,372.63
273.84,386.27
291.58,388.32
288.85,373.31
288.17,357.61
292.26,347.37
278.62,342.60
305.92,360.34
307.28,376.72
312.06,321.44
318.88,315.30
326.39,307.79
331.85,296.19
273.16,276.40
284.07,283.22
290.90,277.76
292.26,264.79
279.98,264.79
312.06,278.45
316.83,287.32
304.55,266.16
284.07,247.74
303.19,251.83
318.20,246.37
321.61,235.45
327.75,229.99
331.17,221.80
327.75,215.66
330.49,208.83
330.49,202.01
322.98,199.28
312.74,199.28
306.60,204.74
301.82,209.51
302.50,219.07
302.50,224.53
305.92,231.36
310.69,236.13
341.40,311.21
344.81,290.05
357.10,283.22
368.02,276.40
374.16,266.84
385.76,251.83
420.57,250.47
428.76,269.57
432.85,288.00
430.80,306.43
433.53,313.25
432.85,320.07
441.04,328.95
430.12,330.31
444.46,303.70
453.33,304.38
455.37,288.68
462.20,290.73
474.49,285.95
478.58,297.55
355.74,322.12
378.26,318.71
393.95,315.98
351.64,308.48
361.20,310.52
357.10,299.60
374.16,303.70
365.29,292.78
374.84,293.46
385.08,298.92
393.95,304.38
391.22,290.73
383.72,285.95
395.32,282.54
385.08,279.81
358.47,329.63
368.02,325.53
334.58,341.92
340.04,346.01
348.23,346.01
353.00,350.78
348.23,335.09
363.93,359.66
369.38,365.80
380.30,378.08
387.13,386.27
402.14,389.69
347.54,388.32
356.42,386.27
365.97,386.27
375.52,383.54
335.94,384.91
318.20,401.97
329.12,397.20
344.81,410.16
342.08,399.93
350.27,403.34
375.52,395.15
398.05,407.43
406.92,404.02
409.65,397.88
413.06,412.21
428.07,404.70
423.98,400.61
430.80,413.57
413.06,425.18
423.30,416.99
420.57,426.54
400.09,422.45
396.00,422.45
394.64,428.59
398.73,429.95
404.87,431.32
404.87,423.81
431.49,398.56
436.26,402.65
442.41,408.11
441.73,415.62
438.31,427.91
425.35,436.09
406.24,383.54
412.38,371.94
414.43,364.44
415.79,352.15
420.57,337.14
425.35,346.69
433.53,343.96
439.68,343.96
444.46,352.83
444.46,363.07
439.00,366.49
430.12,369.90
428.07,363.07
425.35,353.51
401.46,272.99
406.24,279.13
415.79,274.35
406.92,270.26
424.66,276.40
423.98,288.00
413.74,284.59
424.66,297.55
414.43,297.55
404.87,297.55
384.40,247.74
385.76,233.40
391.91,228.63
398.73,234.08
402.14,240.91
405.55,234.77
419.21,228.63
421.93,232.72
426.03,242.96
376.89,236.13
375.52,227.26
376.21,216.34
395.32,208.83
404.19,204.74
415.79,207.47
407.60,195.19
418.52,183.58
320.93,184.26
335.94,182.22
335.94,175.39
345.50,175.39
350.27,160.38
342.08,191.09
349.59,187.68
351.64,178.12
365.97,180.17
346.18,207.47
372.79,176.76
375.52,190.41
388.49,162.43
398.73,173.35
357.10,145.36
371.43,150.82
371.43,167.21
387.81,136.49
379.62,132.40
389.18,150.82
400.78,121.48
413.06,126.26
411.01,136.49
404.19,150.14
411.01,144.00
421.93,139.91
408.28,161.06
415.79,157.65
428.76,149.46
415.11,171.98
424.66,167.89
435.58,161.74
441.73,126.94
451.96,143.32
446.50,155.60
456.06,152.87
436.26,139.91
456.74,127.62
460.83,139.22
448.55,103.05
453.33,111.93
466.29,105.10
478.58,106.47
474.49,122.84
481.31,135.13
466.29,125.57
468.34,142.64
489.50,111.93
485.40,126.26
494.27,138.54
512.70,145.36
519.52,158.33
488.13,159.01
505.88,146.73
461.51,196.55
458.10,210.88
450.60,218.39
443.77,219.07
440.36,228.63
451.28,236.81
460.83,243.64
460.83,234.77
469.02,223.85
469.02,237.50
464.25,214.29
469.02,199.28
469.71,210.20
475.85,218.39
482.67,226.58
449.23,165.84
449.23,176.07
455.37,180.85
507.24,178.80
474.49,197.23
484.72,191.77
469.02,180.85
468.34,188.36
473.80,184.95
473.80,223.85
475.17,236.13
481.31,244.32
473.80,242.96
477.22,254.56
475.85,259.34
470.39,258.65
464.93,262.75
460.15,253.88
491.54,222.49
