x,y
557.00,524.00
567.00,524.00
578.00,527.00
578.00,539.00
575.00,548.00
585.00,553.00
582.00,563.00

501.00,568.00
517.00,566.00
524.00,559.00
534.00,564.00
527.00,570.00
549.00,561.00

455.00,523.00
461.00,531.00
453.00,540.00
464.00,544.00
473.00,551.00
484.00,555.00
494.00,560.00
463.00,555.00
470.00,561.00
479.00,565.00
456.00,556.00
463.00,566.00
468.00,571.00
460.00,574.00
452.00,573.00
438.00,566.00
429.00,562.00
432.00,570.00
440.00,579.00
451.00,581.00
464.00,585.00
476.00,592.00
447.00,555.00

415.00,505.00
420.00,512.00
414.00,524.00
430.00,533.00
432.00,518.00
433.00,543.00

401.00,460.00
392.00,482.00
389.00,465.00
406.00,473.00

383.00,430.00
376.00,440.00
370.00,449.00
359.00,450.00

379.00,413.00
365.00,408.00
356.00,417.00
363.00,431.00

342.00,365.00
352.00,369.00
339.00,371.00
330.00,372.00
320.00,368.00

325.00,349.00
332.00,352.00
334.00,360.00

307.00,308.00
307.00,297.00
297.00,294.00
288.00,294.00
279.00,305.00
279.00,319.00
291.00,329.00
300.00,335.00
313.00,341.00

317.00,262.00
325.00,256.00
334.00,256.00
334.00,269.00

341.00,217.00
356.00,212.00
361.00,226.00
353.00,235.00
353.00,246.00
361.00,261.00
350.00,275.00

436.00,171.00
433.00,177.00
441.00,177.00
443.00,184.00
448.00,190.00
444.00,200.00

455.00,167.00
466.00,166.00
470.00,173.00
465.00,179.00

498.00,161.00
500.00,187.00

532.00,160.00
544.00,177.00
521.00,195.00

